"","Movie_title","Reviewer","DateReviews","Stars","Textreviews","TitleReviews"
"33","14. Inception","Ch4ndler_B1ng","8 February 2020","10/10","Inception is as original as you can get with a sci-fi movie. I feel like it's kind of pointless to compare this to Blade Runner, Aliens, Terminator 2, 2001: A Space Odyssey or any other sci-fi blockbusters, for they're completely different. What Nolan crafted is genius, in my mind he is still yet to make a bad movie, it is now time to get into spoiler territory.Inception is a story about dreams, how you can build anything you want, Nolan took 10 years to write the screenplay and it was definitely worth-while, this is one of the most mind-blowing, nail-biting, epic action packed science fiction movies of all time. All the performances in this film are amazing, the special effects are flawless, the acting is flawless, the story is flawless, the writing is flawless, this is one of a few pictures that just got everything right in all categories, most people saw there is no such thing as a flawless movie and I would 100% love to disagree with them there, all of the Christopher Nolan movies I have seen so far have no real flaws. Leonardo DiCaprio+Christopher Nolan= pure gold, these two should definitely collaborate more, Inception just proves that Chris is a cinematic God, from his screenplays, to his production, to his film direction, everything is perfect!You have to imagine it to believe it. Watching it once isn't enough, watching it twice isn't enough, you have got to watch this 10 times or even more to really get the true essence of why this movie is considered to be one of the greatest of all time. It is truly film-making at it's greatest! It is one of the most re-watch-able movies a director has ever put out! It's like Dark Knight, Memento and most of his other work where immediately after you watch it you feel like watching it again.At times it gets confusing because sometimes it feels like it's the real world when it is actually the dream world and Leonardo DiCaprio's performance, oh my god! In my opinion it is his greatest performance. And Inception SHOULD HAVE WON BEST PICTURE! Fun fact: This film got nominated for Best Screenplay and many other Oscar nominations, yet they don't nominate the man who put it all together who DIRECTED THE GOSH-DARN MASTERPIECE!I watch this film at least twice a week and to see that Watchmojo put Social Network higher than Inception on their Top 10 Movies of the Decade list p*sses me off! Yeah, it's David Fincher, I get that Watchmojo love David Fincher, but higher than Inception? NAH!If anybody else directed this it would be an average, unoriginal and completely unimaginative piece of work. When Nolan gets his hands on something it is always going to be original, classic and everything great about movies. I'd place this on my top 5 films of the century list, most films on that list would include Nolan films because he is the best director working today and you have to accept that.More will be added soon..."," Didn't win Best Picture? WHAT?"
"34","14. Inception","hitchcockthelegend","7 April 2011","9/10","Inception is written, produced, and directed by Christopher Nolan. The film stars Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard, Ellen Page, Tom Hardy, Cillian Murphy, Dileep Rao, Tom Berenger, and Michael Caine. The musical score is by Hans Zimmer and Wally Pfister is the cinematographer. Plot finds DiCaprio playing Dom Cobb, a specialised spy for hire who steals ideas from the dreams of people. But one day he gets a different offer, one that will enable him to see his estranged children. To get his reward he must enact Inception, the planting of an idea in the mind of the selected target. But Inception is thought impossible and should Cobb and his selected team fail? The consequences are unthinkable.There has already been much written and pondered about as regards Inception in the relatively short running time of its life. One can only imagine what will be written and said about it in ten years time. For although it's arguably a bit too early to be talking about it being held in such high regards as the likes of 2001: A Space Odyssey, it's inescapable that Nolan's movie is this current generation's sci-fi classic. That Nolan has managed to make it accessible to the mainstream, and dazzled the eyes as much as the brain in the process, is close to being a piece of genius craftsmanship.Inception is a film that it's better to know nothing about before venturing into it, and then it asks, well Nolan asks, for your undivided attention. It's neither as confusing as some have painted it, nor does it have any tricks-peek behind the curtain type-up its sleeve. The truth is is that Inception has something for everyone; thematically speaking, and that's before we pore over the special effects that sees Nolan raising the bar considerably. As is the case with twisty high concept movies, interpretations are many, with the director rightly abstaining from discourse about his movie. What forms the basis is your basic life and death struggles, with the grey areas during and after given a clever cinematic make over. There's also meditations on grief that this reviewer personally found easy to get involved with; that of course wont work for everyone, but that is just one of many strands that Nolan dangles for the discerning viewer.If that all sounds a bit too serious for the man who has redefined the Super Hero genre, rest assured thrill seekers, Inception is also a loud swirly spectacle. The action is raucous, be it gun fights or zero gravity punch ups, Nolan has not lost the ability to take the viewer on an action fuelled roller-coaster ride, aided superbly by Lee Smith's editing and Pfister's perfectly broad photography While Zimmer's score blends electronic action pulse beats with saddened guitar strains (ex-Smiths guitarist Johnny Marr on 12 string) to craft one of the best scores of 2010. As I said, there's something for everyone here, making it perhaps one of the leading nominees for title of ultimate modern day blockbuster.Then there's the strong ensemble cast, led by a quite scintillating performance from DiCaprio. Following on from his cards played close to his chest turn in Shutter Island, DiCaprio has given 2010 two of its best lead performances. Here he gives real depth of emotion, the kind that makes it easy for the viewers to hang their hats on. His unfussy acting is easy to buy into, giving the character the air of believability, he is the glue that binds the whole film together. Murphy is wonderfully vulnerable, very much an axis in the narrative, while Levitt almost usurps DiCaprio with a neatly layered portrayal that carries a delightful whiff of duality about it. Special praise, too, for Ellen Page. Still in her early 20s, she exudes an intelligent sexiness that shines bright in a role that could have been boorishly played as a cipher in a lesser actress' hands. While Hardy provides brawny levity and Berenger leaves a favourable mark.The Matrix meets Heat and Mission Impossible, only it's written by Phillip K. Dick and Richard Matheson; or something like that. A cracking hybrid movie that's fit to grace any summer and sure to improve and enlighten with further viewings. 9.5/10"," This is your first lesson in shared dreaming. Stay calm."
"35","14. Inception","clipturnity","22 August 2010","9/10","I'd like to keep my review rather to the point.Pros: 1. its theme - dream is a fascinating topic to say the least. There are a lot of unknowns in dreamworld. 2. its plot - there are several sweet twists and unpredictable turns. 3. its edgy drive - although you know what's coming next, still you feel jumpy about it when it does.4. its rapid storyline - the story moves fast from one scene to another, making the viewers feel like on a roller coaster ride. At times, it's hard to keep up, even after watching it several times. 5. its sophistication - there is a lot of information to remember and digest. This is the very thing the modern moviegoers are after, I believe. 6. its realism - okay, pun intended. The movie explains (or at least tries to) the ins and outs of what dream is about and how it functions, some of which are very familiar with and dear to us.Cons: 1. its poor character development - although the acting was convincing enough there was not enough of character development. I wonder how many people really felt connected to the main character(s) after watching the movie. Yes, the movie talks about emotional struggles but it was more of an action film than anything else, if you ask me. 2. too many distractions - I found that the movie had more characters than necessary. They may play certain roles in the plot but they seemed more of distractions than anything else. I wish the movie was more focused. 3. a bit preachy - I noticed that the characters would explain things about dreamworld and then the exact things happen later in the movie. I'm afraid, Inception overused this trick. In conclusion, its theme is fascinating but its delivery is not without room for improvement. I highly recommend you to go and read Somewhere carnal over 40 winks, if you dig this kind of flicks. Cheers!"," Matrix but in dreamworld? Nah."
"36","14. Inception","marcusdean118","13 July 2010","10/10","Inception is truly one of a kind. A concept which has long gestated in Christopher Nolan's mind, his eye for drama mixed with his large scale sensibilities ring true in Blockbuster season making Inception a true original in the sea of reboots, remakes and sequels.To try and explain Inceptions many plot twists and incredibly intelligent arcs, would be a foolish task. As Nolan himself has been reluctant to. The best way to approach the film would be with an open mind, if you are prepared to be taken on a ride of a lifetime, then trust that you 100% will. If Avatar was a seminal film in technology (although coming out as a rather poor film, in my opinion), then Inception is seminal in it's storytelling. With a 148 minute running time, you would expect a lot to take place, but what you wouldn't expect is the pace of it all. I did not think at one time in the film about how long was left. I was simply blown away by the depth in every single part of the film. If my enthusiasm for the storytelling aspect of the film has left you worried about the spectacle, then don't worry. They are, as hinted in the trailer, incredible, looking real and unbelievable simultaneously. The most pleasing thing about the action set pieces, is that they are genuinely used to illustrate the story, rather than to blow stuff up a la Michael Bay.With this complex movie in it's high concept, a stellar cast is needed. And Nolan as always, delivers with just that. This is vintage DiCaprio, perhaps only equalled in The Aviator, which is even more impressive as his role as Cobb in Inception is not a showy one, needing DiCaprio to be the constant at the centre of the film. And he pulls off Cobb's emotional contradictions sublimely. The rest of the cast members all shine in parts of the films, Cillian Murphy shows off his usually non-existent tender side, Gordon-Levitt bottles his usual charm for his confidently reserved turn as the reliable Arthur, Watanabe is devilish as the seemingly ambiguous Saito, Page shows why she's the next big female star and Tom Hardy revels in being the comic relief of the film compared to his recent turns as decidedly psychopathic characters.Overall, Nolan has indeed surpassed himself. He has created a world as expansive as his Gotham, a plot dwarfing the intricacies of Memento and one which blows The Prestige's cinematic reveal out of the water. This is truly unmissable cinema. Revel in it, we've still got to wait a whole two years before Batman 3."," Nolan at his most intelligent best."
"37","14. Inception","drakula2005","9 July 2010","10/10","I saw Memento very recently, something that turned out to be a great miss.I saw it again, just to make a couple of thins straight-and i'll definitely do the same with Inception.Christopher Nolan keeps improving himself, with even more complex and multilayer script like this.And i thought Memento was hard to reach by most of the viewers, but no.Inception will keep you mesmerized and captivated by the genius, that's hidden behind it.And not just directors and screenwriters (or with other words-Nolan), but with acting and sound-and effects and editing as well.When you have a cast like this-i mean Leonardo DiCaprio, Joseph Gordon-Lewitt, Michael Caine, or Marion Cotillard (a personal favourite), the movie just keeps going flawlessly.Most of the crew is the same the Nolan brothers worked with on TDK and earlier in Batman Begins.So the Oscar noms in those categories are a certainty for me.The only thing one could have against the movie, is the headache one could have.See, most of my friends go to the movies for brainless action, they enjoyed Iron Man 2 and The A-Team, but this movie-you have to see it at least twice, to understand it.The levels and the layers on which thing are happening are so many, that one surely'll miss something vital.This is a reason for not fitting to the mass audience, but i hope that won't happen, because Nolan is one of my favourite directors/writers, and he showed, that the brainless action flicks aren't all of it.There are still movies like Inception out there and still people like the Nolans to make those movies, so it's not all lost.And i hope this movie could show the audience that the story is still important for the experience one could receive, not the endless, constant explosions.Because this is really a one of a lifetime event.Saying that, i must say, that in a world full of remakes, reboots, sequels, prequels and God knows what, this is a unique chance to see something different and unmatched so far-a strong movie, that, surely will be Nolan's latest masterpiece! My Grade won't change-it's the same for all Nolan movies-sheer 10!"," Incredible-Nolan keeps improving and Inception is by far the best improvement!"
"38","14. Inception","chaaa","12 July 2010","10/10","What do we ask for in a summer blockbuster? What is it that incites hysteria this time every year for whatever dross the studios churn out? Epic hugeness? Blowing stuff up? Romance? Action? Heroes? What are we looking for in a blockbuster? I think it all boils down to thrills! Audiences want the thrill of a car chase, the thrill of romance, the thrill of the spectacular! If that is the case, then Inception just might be the greatest summer blockbuster of all time as it also contains something we often don't look for...brains! ""What is the most resilient parasite? An idea"" says Leonardo Di Caprio's character Cobb. Well, Inception is all about ideas. It's all right there in the title. The film central idea revolves around ""Extractors"", who are paid to extract secrets from people's subconscious minds by sneaking into their dreams, usually for the purpose of corporate espionage. However, when one client asks them to plant an idea in the mind of their corporate rival, ""Inception"" is born. The less said about this film the better. It is full of ideas and invention and for each set piece I divulge, a piece of the film's genius is weakened. This is a film that cleverly and intricately brings the audience through several planes of existence simultaneously but never allows the viewer to feel lost. Such is the power of Christopher Nolan's script which, I imagine, is likely to get overlooked due to the sheer visual magnificence of his direction. But everything that makes this film so great is in the script...in the ideas! Everything else is just spectacle. This film bears an uncanny resemblance, thematically, with DiCaprio's other instant classic this year, Shutter Island. Both films investigate in depth the tricks a traumatised mind can play on the individual. Both films are luscious to watch and both films keep the audience firmly outside the realm of reality. However, Inception is an even more layered film than Shutter Island and I believe the sci-fi genre setting will prove to be less alienating for audiences than the prison noir of Scorsese's film. There is not a single dull moment in Nolan's film. There is style, charm and intelligence in every frame of the film. Every performance is pitch-perfect with some strong support by Ellen Page and Joseph Gordon-Levitt particularly who have grown up right before our eyes into undeniable movie stars. Leonardo DiCaprio gives a typically flawless performance as the muddled, grieving man who we never quite trust to be living in the real world. The best part of Inception is the large amount of effects which were done in camera. While the film does make use of CGI, there are some pretty mind-blowing practical effects which are as simple as the camera telling beautiful lies; a rare treat these days. This is a blockbuster that ticks all the boxes; smart, sexy (femme fatale, sexy brainy girl, very beautiful men in very beautiful suits) and magical. Inception is the kind of film that reminds me why cinema will never die. Because anyone who thinks it's OK to watch this film on a laptop or iPad is a fool! This is pure cinema, and proud of it. Not to be missed on the big screen!"," The perfect summer blockbuster?"
"39","14. Inception","Hitchcoc","31 July 2010","10/10","If one goes to an art gallery to see a provocative piece, one sees something new each time. That's what true art is. That's why a black light Elvis is not art. This film is certainly a tour de force. It requires engagement at every step. LIke most works of art, it doesn't give it all away. I look forward to seeing this the second or even third time. First of all, the premise is wonderfully engaging. Our consciousness is layered as everyone knows who thinks they have awakened, only to find themselves in another nightmare--then they awaken again. We know that the subconscious by nature is out of our control. There you have a wonderful premise. Now layer that further with people who can flip in and out and use this to their own ends. While confusing, it's exciting. The amazing thing is that the director/writer pulls it off. Every nuance and event is picked precisely for its effectiveness. We have the luxury of watching from one precipice into the abyss. We do care about the people and not just because we want them to succeed. We care about the matrix of the dream levels. Great movie."," Come Back Again!"
"40","14. Inception","murtaza_mma","26 July 2010","9/10","Surrealism can appear to be ineffably bizarre, or inquisitively titillating, depending purely on the viewer's intellect. Though the realm of surrealism is highly nebulous and complex, but even a slight attempt at improvisation can sometimes go awry and open a Pandora's Box, making the task highly improbable and nigh impossible. This facet of reality may pose a handicap to the most gifted of the directors, but not to the genius of Christopher Nolan, who not only dabbles with the concept of surrealism, but also ingeniously blends it with the elements of Science Fiction in his latest wonder named Inception. Nolan created a niche for himself a decade back by unleashing a monster of a movie called Memento. He further substantiated his status by conjuring movies like Insomnia, The Prestige, Batman Begins, and The Dark Knight. His unremitting desire for innovation and uncanny craving to foray into the unexplored realms of imagination deservedly earned him an auteur tag, which gave him the carte blanche that a story-teller like Nolan desperately needs. It's highly apparent that Nolan takes every possible advantage of this liberty while filming Inception. Inception is not only dreamlike, but is a dream in itself and is superior to any other thing conceived on the silver screen. With its entwined layers, the movie for the most part serves as an unfathomable riddle and makes multiple viewing extremely essential. It incredibly does extremely well on both the humanistic as well as the technical fronts. In fact, the balance between human emotions and the elements of Science Fiction is so adequate that it's impossible to separate them. The movie is about a futuristic world where the human mind can be intercepted through dream invasion. Cobb is an expert in the art of extracting information (stealing valuable secrets) from deep within the subconscious in the dream state. His proficiency in extraction is marred by a turmoil that begins with his wife's untimely death. He is forced to live the life of a fugitive away from his children. His only chance for redemption lies with a Japanese tycoon named Saitu, who wants him to do an inception (planting information into someone's mind). In order to accomplish this unprecedented task, Cobb and his team must overcome a labyrinth of unforeseeable challenges, where even a slight miss could trap them in a perpetual limbo. Any further revelation would be remissness on my part as the plot is filled with such intricacies that even expatiation would be incapable of justifying its profundity. Leonardo Dicaprio gives a solid performance in the lead role, following his memorable performance in Shutter Island. He has brilliantly depicted the complexities and limitations of Cobb's enigmatic character highlighting his pain and mental trauma. Marion Cotillard is ravishingly scintillating as Cobb's whimsical wife, Mal. The rest of the cast has given a thorough performance with special mention of Ken Watanabe, Ellen Page and Joseph Gordon-Levitt.Inception is incredibly brilliant as a movie and is a breakthrough in contemporary cinema. Nolan's creativity and his unparalleled execution definitely make it an object of great cachet, but whether it would become Buñuel's 'Un chien andalou' or Kubrick's '2001: A Space Odyssey' and serve as a prototype for the movies to come is for the time to decide. Irrespectively, Inception is sine qua non not only for an aficionado, but also for the average viewer, who is willing to delve deep enough to savour the delight.PS: One has to imagine it to believe it. 9/10http://www.apotpourriofvestiges.com/"," A Potpourri of Vestiges Review: Buñuel meets Kubrick in Nolan's most ambitious venture, till date"
"41","15. Dune: Part Two","AfricanBro","26 February 2024","9/10","Phenomenal stuff. I'll probably calm down tomorrow but right now my heart's beating like crazy and my brain's screaming it's a bloody masterpiece. This is one of the few movies that I didn't try to control my expectations beforehand and it still surpassed them in many ways.""Power over spice is power over all""- that kinda turned out to be a lie at the end. As The movie starts, I felt an immediate sense of tension through its score. It's a cinematic experience; I can't imagine feeling the same lying at home in bed, watching in headphones. The resonating vibrations as the sounds reverberate through the theater created an epic atmosphere.When Part One came out people said it was ""game of thrones in space"", I wasn't really taken by that as much, especially since people said the same about Apple TV's Foundation series. So I just enjoyed the movie as Dune and bore no comparisons. After watching part two however I see it; the world building, the politics, the epic grandeur of it all.However, the first half of Dune Part Two is pretty grounded and calm, delving into the lives of the Fremen. It almost feels like two distinct movies, the first half intricately setting the stage for the climactic third act and reinforcing character connections established in Dune Part One. Unlike the Part One's focus on lore, this movie is more devotion-driven, also resembling a political narrative, especially knowing of the hidden puppeteers behind the empire. The result appears to be an intricate web of schemes involving the empire, the witch-advisor women(can't spell their names lol), and the Baron's family. Despite the emperor's pulling the strings, the Baron's family still felt like main antagonist to me.The second half of the movie is where we see the epic scale of dune. The movies not quick paced but you couldn't tell, I was absolutely immersed in it.I absolutely loved the kind ""The mahdi is too humble to say he is the mahdi."" Theatre burst out in laughter. It felt weird, I wasn't expecting any humour. It's funnier than I expected. More lively than the first Dune movie. I'd already seen the Usul-worm-riding scene from the Dune Part One reopening bonus content. I was still just as excited and it didn't spoil a thing.The visual brilliance, as expected was stunning, elevating every aspect. The authenticity of the scenes made it feel as if characters were immersed in the environment, rather than merely placed against a green screen. I loved the portrayal of time passing through Paul's changing eyes; the longer he stays the bluer his eyes get. Despite how lively it is, the plot, while progressing at a measured pace, remains engaging, drawing attention away from its deliberate slowness. It has much more action, the battles were absolutely epic, I feel like they could have been longer but they still captivated me.Jessica disappears for a while, but just when I thought that, she showed up. Other than Paul and Zendeya, the rest of the cast doesn't really get as much screen time as you'd think. I loved the baby/embryo/featus scenes. Batista with no mask in the desert while his whole team's suited up was badass. I love him in darker roles, although I think some moments felt overly animated. But it gave an effective contrast to Austin Butler though, I couldn't wait to see what his character was like. Very fierce, intimidating and psycho. The girl shivering with the plate in her hands before the gladiator games made me chuckle. Butler did also sound like the baron at times.Dune: Part Two stands steady on its own, it felt complete compared to the more introductory feel of Part One. Despite this, I still felt like it lays groundwork for Dune: Part Three/Messiah, leaving a sense of setup. The movie, while feeling like a precursor, still manages to provide a more conclusive ending. I also think you should watch Part One first, if that has to be said; and the prospect of a back-to-back viewing sounds like a fun afternoon.One thing I can complain about is Stilger. I have mixed feelings. In Part One, Javier was fierce and was my favorite character, in this movie though he's depicted as a religious fanatic for the most part. It was done well, but I still miss the Stilgar who walked up to Duke Leto Atreides with no disregard. This felt like a different person, still fierce, just different.Loved Austin butler though, I wasn't sure what to expect as I tried my best to avoid trailers and teasers apart from the Dune part one bonus content. That short lady in charge of extracting 'the water of life' had some insane calves on her, I'm extremely jealous.While I was initially not convinced about Timothée Chalamet as the lead, he truly owns the role in the sequel, displayed acting facets I'd not seen before from him. The movie essentially unfolds as Paul Atreides' coming-of-age story, with Zendaya delivering an amazing performance. The first act, focusing on their love story, adds depth to the events at the movie's end. Zendaya's portrayal transcends the typical love story, I hope her role extends into Dune: Messiah, and hopefully adds further complexity to her character.We see Paul undergo some transformations. From being the son of royalty to experiencing love, the narrative takes a surprising turn when he assumes authority in the third act. Although I liked it, it felt a bit rushed. But, I found solace/logic with the ""water of life"" spiritual poison, where drinking it resulted in a profound shift in your personality. The contrast between the before and after versions of Paul, as well as Jessica, is striking so it kinda made sense to me.I think watching this movie at home won't do it justice, it's clearly made for the big screens if you can. It's pretty epic and I think it'll remain memorable as one of 2024's best movies, despite only being February. I absolutely loved it."," Long live the fighters"
"42","15. Dune: Part Two","her5066","26 February 2024","10/10","This is what Hollywood needs. A great story with a great director/producer. After that the best thing a studio can do is get the hell out of the way and let artists create art.Dune Part 2 is creative, beautiful, tragic, and mesmerizing. Never once did I get bored or anticipate what was going to happen next. I haven't read the book so I have nothing to compare it to.Denis Villeneuve continues to amaze me with the effort he puts into each of his films. The acting in this film was top notch too. We saw it in IMAX and the sound was earth shattering. If you're gonna see this movie, see it on the largest screen possible."," This is what Hollywood needs!"
"43","15. Dune: Part Two","and_mikkelsen","28 February 2024","10/10","This is the kind of movie that is impossible to do justice, just by talking about it! It is the kind of experience you had once.. but you never thought you would get again.. until this movie proves you WRONG!!This movie takes the aspects of the first movie and improves upon them in almost every way possible, already writing itself into the books of greatest sequels of ALL TIME!!Everything in this movie was TOP notch! Dennis Villeneauve proves why he is not only a master of Sci-Fi movies, but just filmmaking in general! This was a demonstration of power, in what you can achieve with filmmaking!I beg you to watch this on the biggest and best screen you can find! This will be an experience that will stick with you forever!I thought the real Blockbuster was dead.. but I was wrong! This is the cinematic experience i craved!Now I am gonna watch this movie again, and maybe again! Then I am gonna read the books!"," Ladies and gentleman.. the PEAK of filmmaking!!"
"44","15. Dune: Part Two","HalBanksy","4 March 2024","10/10","A monumental piece of cinema. And combined with Part 1, we have one of the greatest adaptations in genre literature history.It's clear everyone on set was aware that they were working on something special here - because literally every single person in this production have brought their A-Game for a truly incredible technical achievement. And easily the best ensemble performance in a blockbuster since Fellowship of the Ring.Paced to perfection, at once uniquely beautiful, thought-provoking and beyond THRILLING. Dave Bautista fights someone to the death, while hanging onto the outside of a helicopter that is being shot out of the sky - and that doesn't even reach the Top 10 action set-pieces in the film.. It just doesn't get better than this."," Arrakis is Real. Believe Me I've Seen It."
"45","15. Dune: Part Two","thePopcornExplorer","7 March 2024","7/10","I have to start by saying that I absolutely loved the first movie. I wasn't familiar with the story and I went with zero expectations, only to be completely stunned by the masterful artwork that was Dune Part 1.The music, the sound, the visuals, the entire world and its atmosphere, the characters even the plot, I found everything beautifully crafted and a breath of fresh air for the Sci-Fi genre.I am not familiar with the source material so this is considering only the movies and while I had a deep desire to love this second part specially considering the reviews it has been getting and how much I loved the first one, I couldn't help but feel a slight disappointment...
Let's start with the positives - the cinematography is consistently out of this world, it is a visual wonder, a mix of practical effects with CGI that blends in perfectly. The intense and dramatic sound effects associated with a thrilling and daunting soundtrack delivers! And of course the acting is consistently good, this time around it was great to see Javier Barden's character being developed and bringing some great topics to the table.What makes me wonder the most to be honest is how different both the first movie and the second are being reviewed by the general public..
For once its running time is considerable (almost 3 hours) and somehow it feels strangely rushed... It's a bit odd to explain but in other words, we get so many scenes that feel that don't contribute at all to the narrative and out of the blue we transition to a scene where the main character changes the demeanor entirely without much build up leading to it..
The movie spends so much time trying to connect Paul to the Fremens, yet it fails to explore his own inner motivations, the moment we see his character changing, it gives you the feeling that you missed something.Paul's betrayal to Chani also feels a bit irrelevant since the chemistry built on the first movie seems to just dissipate...
The relationship with his mother is also very odd and inconsistent, her character becomes dark fairly early in the movie, in one moment she is her beloved mother and without much shared screen time he then seems to almost despise her by the end of the film without the audience having a deeper understanding of their relationship dynamic.The newly introduced villains are one dimensional and having Austin Butler's character seemed pointless... there was no goal for him, he gets killed off almost instantly alongside with the Baron who got so much build from the first movie...
An A list of actors like Florence Pugh, Christopher Walken and Léa Seydoux, all of them could've been amazing characters but get zero chance of showing that.An entire plot with Paul's sister goes out the drain as well... messing with time started to become promising but it leads nowhere... I mean I could go on, in short the movie had many plot gaps, didn't develop the characters properly, poorly introduced the newcomers and relied heavily on its outstanding cinematography and sound.It's a shame because I can't tell you how excited I was to write a praising review, but this was my honest opinion which apparently doesn't seem to align with the majority.A lot of scenes drag without much substance to it, the highlight of the film was Javier Barden's character and the messages behind the dangerous of the concept of a Messia.I am of course hopeful for the third movie, maybe with my expectations now lowered it becomes a great experience all over again."," Visual masterpiece, questionable narrative"
"46","15. Dune: Part Two","Dvir971","26 February 2024","10/10","Had the pleasure to watch this film in an early screening and was completely blown away.As a big fan of the Game of Thrones franchise, it's been a long time since iv'e encountered this level of world-building and epicness. Would highly recommend to re-watch the first movie in order to appreciate the subtleties and foreshadowing better, though it's not completely necessary since the movie is pretty self-contained and would please general audience that only watched the first movie 3 years ago just as well.Denis Villeneuve continues to prove himself as one of the most promising filmmakers of our time, and if it was up to me I would keep him in these high-budget epic tales such as these since there are very few directors working today that can tackle this genre as good as he does.In my personal opinion, the movie is better than the first part in pretty much every aspect. Hans Zimmer's score is masterful just as you'd expect, and one step up from the Oscar winner and Grammy nominated score of Pt. 1. Technical aspects such as VFX, Production Design, Sound, Editing, etc. Are all top notch and awards-worthy. The action sequences are absolutely mind blowing and sent chills down my spine. Denis direction is impeccable, and the story is absolutely fascinating- continuing to develop characters from Pt. 1 even deeper and introduce new incredible and intriguing characters.The movie serves as a great wrap-up to the story introduced in Pt. 1 however in my opinion could serve as an even better set-up to a possible masterpiece in Dune: Messiah, which I really hope will get green-lit soon.I believe (and surely hope) this movie will be a major player in the next Award Season. Below-the-line wins are pretty much guaranteed as of now, but I hope it will get some love in above-the-line categories such as Direction and even Best Picture, perhaps to break stigmas presented against the Fantasy/Sci-Fi genre in recent years at the Academy. As a big fan of the genre, unless a better competitor will be released later this eligibility period, maybe it's time for a movie like this to triumph once again.Don't miss the opportunity to catch this movie on IMAX, since I believe it's an historic piece of epic-Fantasy/Sci-Fi cinema and a movie that will be remembered as a classic of the genre.Extremely recommended."," The Sci-Fi/Fantasy Epic of our Generation"
"47","15. Dune: Part Two","Ellimof","26 February 2024","10/10","If you liked or loved the first one, the same will apply for this one. Personally, I loved this one even more and I think general audiences will as well. So I hope it does well at the box office because I need Dune Messiah now. This is everything I love about going to the movies. Also, Hans Zimmer.For book readers, I'd say this one takes more liberties than the first, but they were changes I liked, some for the better even. For the most part, it still hits the main beats from the book with a few things altered. The biggest change being no time jump. Therefore, a certain character doesn't fully appear in the movie contrary to the book. Though, they still use the character in a different way that I liked personally.I know it's early in the year, but you can lock some Oscar nominations for this movie: Best Picture, Best Director, Best Adapted Screenplay, Best Editing, Best Cinematography, Best Score, Best Sound, Best Visual Effects, Best Costume, Best Production Design, Best Makeup, and hopefully Rebecca Ferguson this time for Best Supporting Actress. I guess that's pretty much every category now that I've typed it out lol."," WOW! I need Dune Messiah now."
"48","15. Dune: Part Two","poseyfan","1 March 2024","10/10","""Dune"" has been successfully put to the big screen. Not only is this a good adaptation, it passes with flying colors.The character arc of Paul Atreides is fascinating and complex. I love how they delved into his psyche and motivations so prevalently in this movie. He is reluctant to take up the Messianic mantle because he knows it's a lie. But things go according to his vision and he becomes a morally complex character. Religious fantacism takes hold of the fremen.It is up for interpretation what kind of character Paul becomes. Is he a tyrant? Was it the only path? What does religion have to do with it? Paul takes hold of the Bene Gesserit lie by exploiting faith.This leads to other questions. Can one truly trust the arm of flesh? The frailty of man? Leaders have come and gone throughout history bringing different ideals.One's own morality comes into play. Agency is vital to the human experience. Man will always falter. This leads to questions of a higher power and His role. Is there a God above? What are the implications of that?We don't get stories like this in Hollywood anymore. There is no happy ending in Dune, and one can only ponder the moral complexities of it. The book and movie have made me contemplate many things and I deeply appreciate stories like that.Others have already applauded the effects, acting and script, so I won't go into that too much here. What I will say is it was the best looking movie I have ever seen. Everything looked lived in. The fight scenes were choreographed masterfully. Each actor gave outstanding performances. Hans Zimmer gives a mesmerizing soundtrack.Frank Herbert's vision was honored masterfully. Well done Denis Villeneuve."," Paul Atreides is handled masterfully"
"49","15. Dune: Part Two","awessel-58117","26 February 2024","10/10","This was a perfect sequel to Denis' part one. It accomplished all the main plot points of the book while delivering stellar performances and visuals that most films only dream of having. This film will go down as one of the best in sci-fi/fantasy and it deserves all the laurels it will be gifted. Not in the longest time has a franchise, and a singular movie, captivated me in such a way. This story, these characters, this planet, Dune, lives rent-free in my mind. You would be doing yourself a disservice not seeing this film in IMAX, as the soundscapes created and the soundtrack by Hans Zimmer are so immersive you feel like you are a part of every scene. This movie is a masterpiece in storytelling. 10/10."," A masterpiece, a pillar of sci-fi/fantasy"
